property_name,reviewer,date,stars,heading,review
TVS Emerald Atrium at Green Acres,Raja,27/01/2016,4,Kolapakkam.,?
DAC Chromantique,Venkat,11/05/2014,4,Chitlapakkam.,?
Nest Epic,Mohan,31/05/2014,4,Medavakkam.,?
Radiance The Pride,Vishwa,07/03/2015,4,Pallavaram.,?
Brigade Xanadu,Guest User,21/05/2021,3,Nice project.,Still the project is under construction possession will be on Jun 24. The overall project is nice. Good connectivity and good quality of the project which is connected to all the major areas.
Brigade Xanadu,Guest User,27/08/2020,5,Nice project.,This is an amazing project with a kind of lifestyle I've never seen before in Chennai. Also the brand itself Brigade is famous for its quality and on-time delivery. Post completion of this project I am sure this is gonna be a landmark for it's kind @ 10 Km radius. Very promising project.
Brigade Xanadu,Guest User,21/05/2021,3,Nice project.,Still the project is under construction possession will be on Jun 24. The overall project is nice. Good connectivity and good quality of the project which is connected to all the major areas.
Brigade Xanadu,Guest User,27/08/2020,5,Nice project.,This is an amazing project with a kind of lifestyle I've never seen before in Chennai. Also the brand itself Brigade is famous for its quality and on-time delivery. Post completion of this project I am sure this is gonna be a landmark for it's kind @ 10 Km radius. Very promising project.
Brigade Xanadu,Guest User,19/08/2020,0,Affordable Apartment,This apartment located in Mogappair.This apartment amenities have car parking swimming pool multi-purpose hall and garden etc.
Brigade Xanadu,Vanan,30/09/2013,5,Mogappair West.,?
TVS Emerald Atrium at Green Acres,Raja,27/01/2016,4,Kolapakkam.,?
Olympia Opaline Sequel,Guest User,19/05/2021,5,Beautiful Project.,It is well maintained and good cultural diversity. Great activity zones. Opaline Sequel is one opportunity that makes a comeback with a renewed and enhanced appeal. That will surpass your dreams of a dream home. With a fresh and mesmerizing design appeal and a natural vista that soothes your eyes. T... Read More
Olympia Opaline Sequel,Guest User,18/05/2021,5,Nice project.,"It is a good community, well-maintained ambient inside the community area, cool place for walking. Daily needs are with doorstep delivery. It is a very calm place. A lot of space for kids to play. It is one of the best amenities provided by the builder."
Olympia Opaline Sequel,Guest User,19/05/2021,5,Beautiful Project.,It is well maintained and good cultural diversity. Great activity zones. Opaline Sequel is one opportunity that makes a comeback with a renewed and enhanced appeal. That will surpass your dreams of a dream home. With a fresh and mesmerizing design appeal and a natural vista that soothes your eyes. T... Read More
Olympia Opaline Sequel,Guest User,18/05/2021,5,Nice project.,"It is a good community, well-maintained ambient inside the community area, cool place for walking. Daily needs are with doorstep delivery. It is a very calm place. A lot of space for kids to play. It is one of the best amenities provided by the builder."
Olympia Opaline Sequel,Guest User,18/05/2021,5,Beautiful project.,The project community is good with a lot of young crowds and senior Citizens. They have Apollo Clinic inside the Premises. Plus point is Metro station comes right in front of the society. Overall it is the best project.
Olympia Opaline Sequel,Guest User,18/05/2021,5,Beautiful Project.,The apartment community is good with it. A lot of young crowds and senior citizens. They have Apollo Clinic inside the premises. Metro station comes right in front of the apartment.
Olympia Opaline Sequel,Guest User,12/07/2020,4,Best of its location,This apartment located in navalur.This apartment amenities have swimming pool car parking rainwater harvesting security kids play area
Olympia Opaline Sequel,Navaneeth,10/12/2013,4,Navalur.,?
Isha Santhosham,Shyamsundar,13/12/2013,4,Perungalathur.,?
RWD Grand Corridor,Alvina ,07/05/2013,0,Review Of Vanagaram,?
XS Real Catalunya City,Guest User,22/05/2021,5,Good project.,The design is good and the quality of construction also good. The complex is maintained well. The ambiance is good and scenic beautiful. Maintenance is also good.
XS Real Catalunya City,Guest User,18/08/2020,4,Good Project.,"This apartment is located in siruseri. This apartment has amenities like, swimming pool, car parking, kids play area, gym, security available."
XS Real Catalunya City,Guest User,22/05/2021,5,Good project.,The design is good and the quality of construction also good. The complex is maintained well. The ambiance is good and scenic beautiful. Maintenance is also good.
XS Real Catalunya City,Guest User,18/08/2020,4,Good Project.,"This apartment is located in siruseri. This apartment has amenities like, swimming pool, car parking, kids play area, gym, security available."
XS Real Catalunya City,Anshu,26/03/2013,0,Review Of Siruseri,?
