property_name,reviewer,date,stars,heading,review
Nikhar Aventino,Sneha ,25/06/2014,4,Bellandur.,?
Mantri Serenity,Guest User,05/06/2021,4,Nice project.,This is an awesome project. Nice atmosphere and well-maintained location. The security staff is good. Nicely maintained society. Good view from the balcony and surrounding Green area.
Mantri Serenity,Neeraj,05/06/2021,3,Good project.,"The project offers spacious apartments with luxurious features. Amenities include a fully equipped clubhouse, landscaped gardens, gymnasium. They are the best when it comes to luxury, service staff is also very good."
Mantri Serenity,Guest User,05/06/2021,4,Nice project.,This is an awesome project. Nice atmosphere and well-maintained location. The security staff is good. Nicely maintained society. Good view from the balcony and surrounding Green area.
Mantri Serenity,Neeraj,05/06/2021,3,Good project.,"The project offers spacious apartments with luxurious features. Amenities include a fully equipped clubhouse, landscaped gardens, gymnasium. They are the best when it comes to luxury, service staff is also very good."
Mantri Serenity,Guest User,02/06/2021,4,Nice project.,It is a peaceful place with a low pollution area. Beautiful interior view very good environment. The Interior view is very attractive.
Mantri Serenity,Guest User,09/01/2021,4,All facilities available,Good and best project have all facilities and amenities like Amphitheater Badminton Court Bank/ATM Basket Ball Court Cafeteria CCTV Cameras Club House Community Hall Covered Car Parking Earthquake Resistant Gated Community Gym Indoor Games Jogging Track Landscaped Garden Library Lift Maintenance Sta... Read More
Mantri Serenity,Guest User,09/01/2021,5,Great project.,Mantri Serenity is a well designed ready to move residential project developed by Mantri developers Pvt Ltd situated at a very peaceful place Kanakapura Road. The project offers lavishly designed 2 and 3 BHK homes with all the modern amenities.
Mantri Serenity,Guest User,22/12/2020,4,Well designed project,Mantri Serenity is a well designed ready to move Apartment developed by Mantri developers Pvt Ltd situated at a prime locality Kanakapura road the project offers well planned 2 and 3 BHK multistorey flats with world class amenities.
Mantri Serenity,Guest User,20/12/2020,5,Best project with good connectivity,Mantri Serenity is situated in Kanakapura road with good connectivity for all basic needs and facilities this developer has provided best class amenities and good open space inside the project near to commercial spots for essential purpose
Mantri Serenity,Vipul,12/07/2020,5,Mantri Serenity,"Mantri Serenity is a Multistorey Apartment. With all modern amenities like Jogging track, Gymnasium, Tennis Court, Badminton Court, Kids Play Area, Swimming Pool etc. Security in each tower and CCTV available on the project. Parking facility available."
Mantri Serenity,Satish G Dattatri,16/11/2015,5,Kanakapura Road.,?
Sai Luxus Serenity,Ravi,30/01/2014,5,Hormavu.,?
Vanamali,Hariprasad,04/05/2014,4,Hennur Main Road.,?
GR Samskruthi,Rajiv,05/06/2013,4,Sarjapur Attibele Corridor.,?
Sumadhura Eden Garden,Guest User,29/06/2021,4,Good project.,"As per the developer, the planned project is going to build a very super perfect location between Whitefield and ITPL. This project is located in a prime location with good connectivity. It is proximity to the IT hub best landscape view from the project."
Sumadhura Eden Garden,Guest User,19/06/2021,4,Nice project.,Sumadhura Eden Garden is a well-designed residential ready-to-move project developed by Sumadhura Group Pvt Ltd situated at Whitefield Bangalore. It is a very secure place to live. The project also having premium 2 and 3 BHK luxury homes with great ventilation in and around the project with all the ... Read More
Sumadhura Eden Garden,Guest User,29/06/2021,4,Good project.,"As per the developer, the planned project is going to build a very super perfect location between Whitefield and ITPL. This project is located in a prime location with good connectivity. It is proximity to the IT hub best landscape view from the project."
Sumadhura Eden Garden,Guest User,19/06/2021,4,Nice project.,Sumadhura Eden Garden is a well-designed residential ready-to-move project developed by Sumadhura Group Pvt Ltd situated at Whitefield Bangalore. It is a very secure place to live. The project also having premium 2 and 3 BHK luxury homes with great ventilation in and around the project with all the ... Read More
Sumadhura Eden Garden,Guest User,16/06/2021,4,Nice project.,There are 2 BHK and 3 BHK flats which are so good. Nice to stay here and lovingly. High security from the main gate and many more services.
Sumadhura Eden Garden,Guest User,26/05/2021,5,Nice project.,Sumadhura Soham is a residential project located on Hoskote Whitefield Main Road. Proximity to many reputed IT Sector with all modern amenities and facilities nearby.
Sumadhura Eden Garden,Guest User,27/12/2020,0,Good project,Nice society have anything is nearby to this project and have best facilities like Amphitheater Basket Ball Court Club House Covered Car Parking Cricket Court Landscaped Garden Party Area Play Area Rain Water Harvesting Security Personnel Skating Rink Swimming Pool Tennis Court Water Bodies.
Sumadhura Eden Garden,Guest User,23/12/2020,4,Nice project.,Sumadhura Eden garden is a nice residential project located in Whitefield. It is well connected and has a prime location and out of city hustle for a peaceful environment.
Sumadhura Eden Garden,Guest User,20/12/2020,5,Great choice for investors,Sumadhura Eden Garden is a well planned ready to move project situated at whitefield very secure place to live the project offers luxurious 2 and 3 BHK well designed homes with all the modern amenities.
Sumadhura Eden Garden,Gaurav Gupta,29/10/2020,4,Good project.,"A good property situated at a prime location, the sales team is very good overall I had a great experience. I will book a flat here as it is good for families with all facilities."
Sumadhura Eden Garden,Arun ,23/10/2016,5,Whitefield.,?
Concorde Auriga,Guest User,25/09/2020,5,Nice Ventilated Project.,The perfect planned and well-constructed project gives the best ventilation for residents nicely built overall good connectivity to the main road. It has got amenities and easy access to all basic needs.
Concorde Auriga,Guest User,25/09/2020,4,Nice Project.,This project is located between two lakes both the side of the road has got the lake and good ventilated apartments. A good option to buy flats here it gives the best experience of lake view and spacious open type view. Right on the old madras road gives better connectivity as well.
Concorde Auriga,Guest User,25/09/2020,5,Nice Ventilated Project.,The perfect planned and well-constructed project gives the best ventilation for residents nicely built overall good connectivity to the main road. It has got amenities and easy access to all basic needs.
Concorde Auriga,Guest User,25/09/2020,4,Nice Project.,This project is located between two lakes both the side of the road has got the lake and good ventilated apartments. A good option to buy flats here it gives the best experience of lake view and spacious open type view. Right on the old madras road gives better connectivity as well.
Concorde Auriga,Guest User,25/09/2020,4,Good Project.,This project is located between two lakes both the side of the road has got the lake and good ventilated project good option to buy flats here. It gives the best experience of lake view and spacious open type view.
Concorde Auriga,Manjunath,12/05/2014,5,K R Puram.,?
Celebrity Pride Avenue,Janaadhar,22/04/2014,4,Sarjapur-Attibele Road.,?
Nandi Citadel,Guest User,25/09/2020,4,Good Project.,It is one of the popular residential project located in south Bangalore. It offers all major amenities with spacious apartments and beautiful landscape and well planned open space.
Nandi Citadel,Guest User,03/09/2020,5,Nice project.,"This project has unique amenities like open space area for car parking and kids play area, garden for walking in the morning and evening. There is all time security on the main gate and in the society too ensuring complete safety. A good place to live in."
Nandi Citadel,Guest User,25/09/2020,4,Good Project.,It is one of the popular residential project located in south Bangalore. It offers all major amenities with spacious apartments and beautiful landscape and well planned open space.
Nandi Citadel,Guest User,03/09/2020,5,Nice project.,"This project has unique amenities like open space area for car parking and kids play area, garden for walking in the morning and evening. There is all time security on the main gate and in the society too ensuring complete safety. A good place to live in."
Nandi Citadel,Guest User,20/08/2020,5,Good Project.,"Good apartment to live for families everything is a walkable distance like supermarkets, restaurant schools, colleges, bus stop, public parks, temples hospitals ATMs."
Nandi Citadel,Dhiraj,03/08/2014,5,Bannerghatta Road.,?
